Question,Réponse,Sujet
Quel est l'élément chimique avec le symbole W,tungstene,Chimie
Quel est le plus grand archipel du monde,indonesie,Geographie
Quel est le plus petit pays d'Asie,macao,Geographie
Quel est le nom du plus grand canyon,grandcanyon,Geographie
Quelle est la durée d'une année sur la planète Mars,687jours,Astronomie
Quel est le plus grand système fluvial du monde,amazonie,Geographie
Quel est le plus long fleuve d'Asie,yangtse,Geographie
Quel est l'organe qui permet la production de lait,glande mammaire,Biologie
Qui a écrit la théorie de l'évolution,charlesdarwin,Histoire
Quel est le plus grand groupe d'îles volcaniques,hawaii,Geographie
Quel est le plus grand oiseau capable de voler,albatros,Animaux
Quel est l'élément chimique avec le symbole Pb,pb,Chimie
Quel est le premier satellite lancé par l'homme,sputnik,Science
Quel est l'animal qui pond des œufs et allaite ses petits,monotrème,Animaux
Quel est l'animal qui peut vivre sans eau,chameau,Animaux
Quel est le pays d'origine du chocolat,switzerland,Alimentation
Quel est l'élément chimique avec le symbole U,uranium,Chimie
Quel est le nom du plus haut gratte-ciel du monde,burjkhalifa,Architecture
Quel est l'élément chimique avec le symbole Sn,etain,Chimie
Quel est le plus grand désert du monde,sahara,Geographie
Quel est le plus grand archipel de l'océan Atlantique,canaries,Geographie
Quel est le pays avec le plus grand nombre d'habitants,chine,Geographie
Quel est le pays où se trouve le Machu Picchu,perou,Geographie
Quel est le plus grand volcan en activité,mauna loa,Geographie
Quel est le plus grand lac salé,mer caspienne,Geographie
Quel est le plus grand aéroport du monde,king khaled,Transport
Quel est le métal utilisé pour les piles,zinccarbone,Chimie
Quel est l'organe qui transforme les aliments en énergie,foie,Biologie
Quel est le premier homme à avoir voyagé dans l'espace,yuri gagarine,Astronomie
Quel est l'élément chimique avec le symbole Kr,krypton,Chimie
Quel est le premier pays à avoir donné le droit de vote aux femmes,nouvellezelande,Politique
Quel est le pays le plus densément peuplé,monaco,Geographie
Quel est le plus petit os du corps humain,stapes,Biologie
Quel est le plus grand glacier,lambert,Geographie
Quel est l'organe qui permet de filtrer le sang,reins,Biologie
Quel est le plus grand pays d'Afrique,nigeria,Geographie
Quel est le plus grand objet du système solaire,soleil,Astronomie
Quel est le pays où l'on parle le plus de langues,parleplus,Langues
Quel est l'animal qui possède des rayures,zebre,Animaux
Quel est l'élément chimique avec le symbole Ag,argent,Chimie
Quel est le plus long fleuve d'Afrique,congo,Geographie
Quel est le volcan qui a détruit Pompéi,vesuve,Geographie
Quel est le pays avec le plus grand nombre de volcans,indonésie,Geographie
Quel est le plus petit continent,oceanie,Geographie
Quel est le nom du plus grand lac d'Afrique,lac victoria,Geographie
Quel est l'organe qui permet de produire de l'énergie,muscles,Biologie
Quel est l'élément chimique avec le symbole Mn,manganese,Chimie
Quel est le seul mammifère capable de voler,chauve-souris,Animaux
Quel est le nom du plus grand pays de l'Union Européenne,france,Geographie
Quel est le gaz responsable de l'effet de serre,co2,Science
